Data set,"Authors collaborating with Xu, C. C."
Entity,"Xu, C. C."
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Li, Zhanku",203007,"Anhui University of Technology",academic,1,20,20.0,1.53,55982381200
"Li, Zhenying",203007,"Anhui University of Technology",academic,1,2,2.0,0.17,57747685100
"Li, Zhongjun",203245,"Zhengzhou University",academic,1,17,17.0,1.26,57051900100
"Lin, Jianan",501007,"Dalhousie University",academic,1,1,1.0,1.72,57204520858
"Liu, Baozhong",203091,"Henan Polytechnic University",academic,1,38,38.0,2.18,13402658800
"Liu, Beibei",203245,"Zhengzhou University",academic,1,2,2.0,0.39,59630177600
"Liu, Haiyang",203245,"Zhengzhou University",academic,1,1,1.0,0.21,59285925200
"Liu, Peiyao",203245,"Zhengzhou University",academic,1,1,1.0,0.33,59133921600
"Liu, Xueli",203245,"Zhengzhou University",academic,1,1,1.0,1.39,58091300700
"Liu, Yali",203126,"Nanjing Forestry University",academic,1,0,0.0,0.00,55899953100
"Liu, Yifan",203076,"Harbin Institute of Technology",academic,1,7,7.0,1.68,59852537800
"Liu, Yufeng",203201,"Taiyuan University of Technology",academic,1,1,1.0,0.33,59133530700
"Liu, Zhanmei",-,"Guangzhou Nanyang Polytechnic",-,1,15,15.0,1.41,25623643000
"Liu, Zhiyang",203245,"Zhengzhou University",academic,1,1,1.0,1.71,59544475600
"Long, Siyuan",203124,"Nanchang University",academic,1,14,14.0,1.29,58548201100
"Lu, Xin",203057,"East China University of Science and Technology",academic,1,11,11.0,0.73,56472064900
"Luo, Qianqian",203245,"Zhengzhou University",academic,1,6,6.0,0.43,57212313567
"Luo, Zejun",205002,"City University of Hong Kong",academic,1,1,1.0,1.39,57206659466
"Lv, Xiaojing",717064,"Zhongkai University of Agriculture and Engineering",academic,1,15,15.0,1.41,57215876768
"Ma, Hong",203270,"CAS - Dalian Institute of Chemical Physics",academic,1,8,8.0,1.06,57217349003
"Ma, Jiajia",203244,"Zhejiang University of Technology",academic,1,18,18.0,0.58,57368387100
"Meng, Kangzheng",203007,"Anhui University of Technology",academic,1,21,21.0,1.34,58677955600
"Meng, Qingmin",203007,"Anhui University of Technology",academic,1,6,6.0,0.68,55455271600
"Miao, Yahui",205002,"City University of Hong Kong",academic,1,3,3.0,0.57,58101059500
"Miller, Kimberly",-,"Solid State Pharma Inc.",-,1,16,16.0,1.28,57884180400
"Moresoli, Christine",501051,"University of Waterloo",academic,1,8,8.0,0.54,55907345300
"Murtaza, Bilal",501014,"Lakehead University",academic,1,3,3.0,0.23,59810902100
"Nabipour, Hafezeh",501052,"Western University",academic,1,11,11.0,1.00,38362104900
"Nanda, Sonil",501052,"Western University",academic,1,14,14.0,8.85,56350215900
"Nasseri, Rasool",501051,"University of Waterloo",academic,1,8,8.0,0.54,56019146800
"Ng, Harrison",501052,"Western University",academic,1,17,17.0,2.00,58551455800
"Ngono Ngane, Rosalie A.",702987,"Université de Douala",academic,1,1,1.0,1.99,42862015600
"Nie, Hanbing",-,"Jiangxi Academy of Sciences",-,1,14,14.0,1.29,57211946872
"Nie, Xin",203270,"CAS - Dalian Institute of Chemical Physics",academic,1,8,8.0,1.06,56250695900
"Nie, Yingxia",203073,"Guizhou University",academic,1,14,14.0,8.85,58985138900
"Niu, Chunyao",203245,"Zhengzhou University",academic,1,3,3.0,0.71,56708106500
"Pang, Xinchang",203093,"Henan University of Science and Technology",academic,1,48,48.0,3.50,23051741300
"Park, Evan",501052,"Western University",academic,1,6,6.0,0.76,58221824300
"Peng, Yang",203124,"Nanchang University",academic,1,16,16.0,0.98,59826954900
"Pjontek, Dominic",501052,"Western University",academic,1,1,1.0,0.21,22958193300
